Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",09/04/2020 15:00,0,0.026,0.025,0.07,5.22,6,0,0,26,31,10,24,31,09-Apr-20,15:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 15:00,0,0.026,0.025,0,4.68,2.83,0,0,26,31,9,11,31,09-Apr-20,15:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 15:00,,0.021,0.02,0,6,3.25,0,0,21,25,12,13,25,09-Apr-20,15:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 16:00,,,,,5.63,2.94,,,,,11,11,11,09-Apr-20,16:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 16:00,,,,,4.59,2.62,,,,,9,10,,09-Apr-20,16:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 16:00,,,,,5.33,6.06,,,,,10,24,,09-Apr-20,16:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 18:00,0,0.02,0.022,0,4.74,2.57,0,0,20,28,9,10,28,09-Apr-20,18:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 18:00,0,0.021,0.023,0.06,5.01,5.54,0,0,21,28,10,22,28,09-Apr-20,18:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 18:00,,0.016,0.019,0,5.14,2.53,0,0,16,23,10,10,23,09-Apr-20,18:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 20:00,0.007,0.009,0.016,0,4.75,2.67,0,6,9,20,9,10,20,09-Apr-20,20:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 20:00,0.001,0.017,0.019,0.07,4.57,4.61,0,1,17,24,9,18,24,09-Apr-20,20:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 20:00,,0.017,0.017,0,4.83,2.38,0,0,17,21,9,9,21,09-Apr-20,20:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 22:00,,0.016,0.016,0,3.94,2.02,0,0,16,21,7,8,21,09-Apr-20,22:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 22:00,0.01,0.001,0.007,0.01,4.91,2.79,0,8,1,9,9,11,11,09-Apr-20,22:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 22:00,0.001,0.015,0.017,0.07,4.04,4.6,0,0,15,22,8,18,22,09-Apr-20,22:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 23:00,0.01,0.001,0.004,0.06,5.27,3.03,0,8,1,5,10,12,12,09-Apr-20,23:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 23:00,,0.015,0.016,0,3.42,1.81,0,0,15,21,6,7,21,09-Apr-20,23:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 23:00,0.004,0.008,0.015,0.09,3.63,4.42,1,3,8,19,7,17,19,09-Apr-20,23:00:00
Florey,"(-35.220606, 149.043539)",10/04/2020 0:00,0,0.017,0.015,0.09,3.33,4.09,1,0,17,18,6,16,18,10-Apr-20,0:00:00
Civic,"(-35.285307, 149.131579)",10/04/2020 0:00,,0.018,0.017,0,2.84,1.63,0,0,18,21,5,6,21,10-Apr-20,0:00:00
Monash,"(-35.418302, 149.094018)",10/04/2020 0:00,0.009,0.002,0.002,0.1,5.46,4,1,7,2,3,10,16,16,10-Apr-20,0:00:00
Florey,"(-35.220606, 149.043539)",10/04/2020 1:00,0,0.016,0.014,0.08,2.96,3.48,0,0,16,18,5,13,18,10-Apr-20,1:00:00
Civic,"(-35.285307, 149.131579)",10/04/2020 1:00,,0.018,0.017,0,2.28,1.57,0,0,18,21,4,6,21,10-Apr-20,1:00:00
Monash,"(-35.418302, 149.094018)",10/04/2020 1:00,0.006,0.003,0.002,0.12,5.43,4.33,1,5,3,2,10,17,17,10-Apr-20,1:00:00
Monash,"(-35.418302, 149.094018)",10/04/2020 2:00,0.005,0.004,0.003,0.15,5.31,4.6,1,4,4,3,10,18,18,10-Apr-20,2:00:00
Civic,"(-35.285307, 149.131579)",10/04/2020 2:00,,0.018,0.017,0,1.98,1.77,0,0,18,21,3,7,21,10-Apr-20,2:00:00
Florey,"(-35.220606, 149.043539)",10/04/2020 2:00,0,0.017,0.014,0.08,2.5,2.57,0,0,17,18,5,10,18,10-Apr-20,2:00:00
Civic,"(-35.285307, 149.131579)",10/04/2020 3:00,,0.015,0.017,0,1.87,1.88,0,0,15,21,3,7,21,10-Apr-20,3:00:00
Florey,"(-35.220606, 149.043539)",10/04/2020 3:00,0,0.014,0.016,0.08,2.4,1.65,0,0,14,20,4,6,20,10-Apr-20,3:00:00
Monash,"(-35.418302, 149.094018)",10/04/2020 3:00,0.002,0.006,0.004,0.16,5.62,4.81,1,2,6,5,11,19,19,10-Apr-20,3:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 17:00,,0.019,0.02,0,5.38,2.69,0,0,19,25,10,10,25,09-Apr-20,17:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 17:00,0,0.022,0.024,0.06,5.29,5.64,0,0,22,31,10,22,31,09-Apr-20,17:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 17:00,0,0.022,0.025,0,4.75,2.61,0,0,22,31,9,10,31,09-Apr-20,17:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 19:00,,0.015,0.017,0,5.14,2.44,0,0,15,21,10,9,21,09-Apr-20,19:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 19:00,0.001,0.018,0.02,0.06,4.88,5.14,0,1,18,25,9,20,25,09-Apr-20,19:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 19:00,0.004,0.014,0.018,0,4.72,2.43,0,4,14,23,9,9,23,09-Apr-20,19:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 21:00,0,0.019,0.019,0.07,4.38,4.83,0,0,19,23,8,19,23,09-Apr-20,21:00:00
